"Coalizione","Dove","Partito","Circoscrizione","Collegio Plurinominale","Collegio Uninominale","Città principale","Pos.","Candidato"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Benedetta Scuderi"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","David Checchi"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Elisa Fiorucci"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Mattia Lento"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Elisa Siragusa"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Europa","-","-","-","-","Francesco Muscau"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
"Centrosinistra","Camera dei deputati","Alleanza Verdi e Sinistra","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","Europa","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","Europa","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","America Settentrionale e Centrale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","America Meridionale","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
"Centrosinistra","Senato","Alleanza Verdi e Sinistra","Africa, Asia, Oceania e Antartide","-","-","-","-","NON INDICATO"
