"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Movimento5Stelle","Senato","Movimento5Stelle","Calabria","Calabria - U02","Reggio di Calabria","Giuseppe Auddino"
"Movimento5Stelle","Senato","Movimento5Stelle","Campania","Campania - U01","Caserta","Antonio Del Monaco"
"Movimento5Stelle","Senato","Movimento5Stelle","Campania","Campania - U02","Benevento","Maura Sarno"
"Movimento5Stelle","Senato","Movimento5Stelle","Campania","Campania - U03","Salerno","Francesco Castiello"
"Movimento5Stelle","Senato","Movimento5Stelle","Campania","Campania - U04","Napoli","Ada Lopreiato"
"Movimento5Stelle","Senato","Movimento5Stelle","Campania","Campania - U05","Giugliano in Campania","Maria Domenica Castellone"
"Movimento5Stelle","Senato","Movimento5Stelle","Campania","Campania - U06","Torre del Greco","Orfeo Mazzella"
"Movimento5Stelle","Senato","Movimento5Stelle","Campania","Campania - U07","Acerra","Raffaele De Rosa"
"Movimento5Stelle","Senato","Movimento5Stelle","Emilia-Romagna","Emilia-Romagna - U01","Parma","Gabriella Blancato"
"Movimento5Stelle","Senato","Movimento5Stelle","Emilia-Romagna","Emilia-Romagna - U02","Modena","Maria Laura Mantovani"
"Movimento5Stelle","Senato","Movimento5Stelle","Emilia-Romagna","Emilia-Romagna - U03","Bologna","Fabio Selleri"
"Movimento5Stelle","Senato","Movimento5Stelle","Emilia-Romagna","Emilia-Romagna - U04","Ravenna","Anastasia Ruggeri"
"Movimento5Stelle","Senato","Movimento5Stelle","Emilia-Romagna","Emilia-Romagna - U05","Rimini","Marco Croatti"
"Movimento5Stelle","Senato","Movimento5Stelle","Friuli-Venezia Giulia","Friuli-Venezia Giulia - U01","Trieste","Stefano Patuanelli"
"Movimento5Stelle","Senato","Movimento5Stelle","Lazio","Lazio - U01","Viterbo","Massimo Erbetti"
"Movimento5Stelle","Senato","Movimento5Stelle","Lazio","Lazio - U02","Roma: Municipio XIV","Alessandra Maiorino"
"Movimento5Stelle","Senato","Movimento5Stelle","Lazio","Lazio - U03","Roma: Municipio V","Giuseppe Cracchiolo"
"Movimento5Stelle","Senato","Movimento5Stelle","Lazio","Lazio - U04","Roma: Municipio VII","Giulia Lupo"
"Movimento5Stelle","Senato","Movimento5Stelle","Lazio","Lazio - U05","Guidonia Montecelio","Stefano Chirico"
"Movimento5Stelle","Senato","Movimento5Stelle","Lazio","Lazio - U06","Latina","Anna Sacchetti"
"Movimento5Stelle","Senato","Movimento5Stelle","Liguria","Liguria - U01","Genova: Municipio VII -
Ponente","Enrico Nadasi"
"Movimento5Stelle","Senato","Movimento5Stelle","Liguria","Liguria - U02","La Spezia","Barbara Tronchi"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U01","Varese","Francesca Bonoldi"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U02","Como","Tommaso Leoni"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U03","Milano: NIL 21 - Buenos Aires -
Venezia","Eugenio Casalino"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U04","Sesto San Giovanni","Elena Sironi"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U05","Cologno Monzese","Paola Pizzighini"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U06","Monza","Bruno Marton"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U07","Bergamo","Umberto Di Franco"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U08","Brescia","Anna Maria Bonettini"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U09","Treviglio","Mariarosa Ghitti"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U10","Pavia","Silvia Baldina"
"Movimento5Stelle","Senato","Movimento5Stelle","Lombardia","Lombardia - U11","Cremona","Sabina Lupo"
"Movimento5Stelle","Senato","Movimento5Stelle","Marche","Marche - U01","Ascoli Piceno","Roberto Cataldi"
"Movimento5Stelle","Senato","Movimento5Stelle","Marche","Marche - U02","Ancona","Samuela Melini"
"Movimento5Stelle","Senato","Movimento5Stelle","Molise","Molise - U01","Campobasso","Ottavio Balducci"
"Movimento5Stelle","Senato","Movimento5Stelle","Piemonte","Piemonte - U01","Torino","Alberto Unia"
